title,link,authors,year
[HTML] From Information Overload to Knowledge Graphs: An Automatic Information Process Model,https://search.proquest.com/openview/a6b2ed2331dfb85e4334f43a0a327922/1?pq-origsite=gscholar&cbl=18750&diss=y,EH Thullen - 2023 - search.proquest.com,2023
[PDF] Three dimensional optical CDMA framework with direct detection technique,https://www.researchgate.net/profile/Satyasen-Panda/publication/325817637_Three_dimensional_optical_CDMA_framework_with_direct_detection_technique/links/5b274435458515270fd5bb26/Three-dimensional-optical-CDMA-framework-with-direct-detection-technique.pdf,"S Panda - World Scientific News, 2017 - researchgate.net",2017
"[HTML] Did West Africa's Ebola Outbreak of 2014 Have a Lab Origin?–Independent Science News Otesanya David December 25, 2022 December 25, 2022",https://www.biorestorative.com/did-west-africas-ebola-outbreak-of-2014-have-a-lab-origin-independent-science-news/,"S Husseini, J Latham - Science, 2022 - biorestorative.com",2022
[PDF] AUTOMATED CONSTRUCTION OF TEST TASKS BASED ON DECOMPOSITION OF EDUCATIONAL TEXT,https://www.researchgate.net/profile/Nataliia-Khatniuk/publication/365519957_Hatnuk_NS_Akovleva_VE_Osoblivosti_ukladenna_dogovoru_pro_surogatne_materinstvo_I_Miznarodna_naukovo-prakticna_internet-konferencia_Slahi_rozvitku_nauki_v_sucasnih_krizovih_umovah_28-29_travna_2020_rok/links/6377d32d37878b3e87bfd0ef/Hatnuk-NS-Akovleva-VE-Osoblivosti-ukladenna-dogovoru-pro-surogatne-materinstvo-I-Miznarodna-naukovo-prakticna-internet-konferencia-Slahi-rozvitku-nauki-v-sucasnih-krizovih-umovah-28-29-travna-202.pdf#page=409,"OM Talakh, SV Tytenko - Шляхи розвитку науки в сучасних кризових … - researchgate.net",N/A
Pylinguistics: an open source library for readability assessment of texts written in Portuguese,https://lume.ufrgs.br/handle/10183/147640,SP Castilhos - 2016 - lume.ufrgs.br,2016
It's always April fools' day!: On the difficulty of social network misinformation classification via propagation features,https://ieeexplore.ieee.org/abstract/document/8267653/,"M Conti, D Lain, R Lazzeretti… - … IEEE Workshop on …, 2017 - ieeexplore.ieee.org",2017
"[PDF] Condition monitoring of systems in thermal power plant for vibration, motor signature, noise and wear debris analysis",https://www.researchgate.net/profile/Caneon-Kurien/publication/321874388_Condition_monitoring_of_systems_in_thermal_power_plant_for_vibration_motor_signature_noise_and_wear_debris_analysis/links/5a37763145851532e832bdc3/Condition-monitoring-of-systems-in-thermal-power-plant-for-vibration-motor-signature-noise-and-wear-debris-analysis.pdf,"C Kurien, AK Srivastava - World Scientific News, 2018 - researchgate.net",2018
[PDF] Development of an online crime management & reporting system,https://www.researchgate.net/profile/Tomas-Ganiron-Jr/publication/333964966_Development_of_an_Online_Crime_Management_Reporting_System/links/5d0ee4e9a6fdcc24629dec1d/Development-of-an-Online-Crime-Management-Reporting-System.pdf,"TU Ganiron Jr, JS Chen, R Dela Cruz… - … Scientific News, 2019 - researchgate.net",2019
MulTed: A multilingual aligned and tagged parallel corpus,https://www.emerald.com/insight/content/doi/10.1016/j.aci.2018.12.003/full/html,"I Zeroual, A Lakhouaja - Applied Computing and Informatics, 2022 - emerald.com",2022
What Is That Talk About? A Video-to-Text Summarization Dataset for Scientific Presentations,https://arxiv.org/abs/2502.08279,"D Liu, C Whitehouse, X Yu, L Mahon, R Saxena… - arXiv preprint arXiv …, 2025 - arxiv.org",2025
[PDF] 3D Mapping by photogrammetry and LiDAR in forest studies,https://www.researchgate.net/profile/Firoz-Ahmad-2/publication/323756185_3D_Mapping_by_Photogrammetry_and_LiDAR_in_Forest_Studies/links/5aab9b2445851521c8486383/3D-Mapping-by-Photogrammetry-and-LiDAR-in-Forest-Studies.pdf,"A Firoz, MM Uddin, L Goparaju - World Scientific News, 2018 - researchgate.net",2018
"Leveraging fine-tuned large language models with lora for effective claim, claimer, and claim object detection",https://aclanthology.org/2024.eacl-long.156/,"S Kotitsas, P Kounoudis, E Koutli… - Proceedings of the …, 2024 - aclanthology.org",2024
Nova: An iterative planning and search approach to enhance novelty and diversity of llm generated ideas,https://arxiv.org/abs/2410.14255,"X Hu, H Fu, J Wang, Y Wang, Z Li, R Xu, Y Lu… - arXiv preprint arXiv …, 2024 - arxiv.org",2024
[PDF] Fabrication of a DTMF Based Guided Vehicle,https://www.researchgate.net/profile/R-S-Krishna/publication/336252666_Fabrication_of_a_DTMF_Based_Guided_Vehicle/links/5d96fb5b92851c2f70e83a03/Fabrication-of-a-DTMF-Based-Guided-Vehicle.pdf,"RS Krishna - World Scientific News, 2019 - researchgate.net",2019
[PDF] IMPACT OF INFORMATION SUBSIDIES ON STUDENT NEWS WRITERS'THINKING ABOUT SCIENCE NEWS,https://www.academia.edu/download/87410799/AJMPVol2Nos1-4.pdf#page=103,"WONY JANG, E FREDERICK… - MICHAEL G. ELASMAR …, 2009 - academia.edu",2009
[CITATION] SCIENCE NEWS: SEVENTH NATIONAL CONGRESS OF PARASITOLOGY,N/A,"AK Gupta - Current Science, 1987 - JSTOR",1987
Image Intelligence in Cyber Security using Sensing System towards the Future Generation Intelligence,https://ieeexplore.ieee.org/abstract/document/9823549/,"R Kumar, N Sharma, S Kumar - 2022 2nd International …, 2022 - ieeexplore.ieee.org",2022
[CITATION] The expression level of a recombinant lipase predicted in silico by different codon optimization algorithms,N/A,"AJ Bello, M Igwo-Ezikpe… - … Scientific …, 2019 - … Wydawnictw Naukowych Darwin …",2019
Generating science buzz: An examination of multidimensional engagement with humorous scientific messages on Twitter and Instagram,https://journals.sagepub.com/doi/abs/10.1177/10755470211063902,"LYF Su, M McKasy, MA Cacciatore… - Science …, 2022 - journals.sagepub.com",2022
Claim verification in the age of large language models: A survey,https://arxiv.org/abs/2408.14317,"A Dmonte, R Oruche, M Zampieri, P Calyam… - arXiv preprint arXiv …, 2024 - arxiv.org",2024
Meme Generation with Multi-modal Input and Planning,https://dl.acm.org/doi/abs/10.1145/3689091.3690088,"A Ranjan, V Srivastava, J Khatri, S Bhat… - … Multimodal Generation …, 2024 - dl.acm.org",2024
[PDF] IMPULSI–IL TG DEI MUSEI: SCIENCE NEWS ENTER SCIENCE MUSEUMS AND SCIENCE CENTRES,https://www.academia.edu/download/80782827/2650_MerzagoraBassoliConti.pdf,"M Merzagora, R Bassoli… - Archives & Museum …, 2004 - academia.edu",2004
Innovative Journalism Practices: Insights for Reporting Science and Health Issues,https://link.springer.com/chapter/10.1007/978-3-031-49084-2_13,"N Fahmy, MA Attia - Palgrave Handbook of Science and Health Journalism, 2024 - Springer",2024
[PDF] Design of Potential Drugs and Vaccines for COVID 19 by the Application of Machine Learning and Artificial Intelligence,http://www.rjlbpcs.com/article-pdf-downloads/2023/54/853.pdf,"I Sarkar, S Sarkar - World Scientific News, 2023 - rjlbpcs.com",2023
[HTML] Applied Deep Learning: Case Studies in Computer Vision and Natural Language Processing,https://search.proquest.com/openview/b4a836b0decde7b81664b211dfd87b67/1?pq-origsite=gscholar&cbl=18750&diss=y,MRU Hoque - 2022 - search.proquest.com,2022
Online misinformation: Challenges and future directions,https://dl.acm.org/doi/abs/10.1145/3184558.3188730,"M Fernandez, H Alani - Companion proceedings of the the web …, 2018 - dl.acm.org",2018
[PDF] Re-assessing the relationship between tax revenue and economic growth in Nigeria (1980-2020),https://www.researchgate.net/profile/Adeyemi-Oluwole/publication/366986365_Re-Assessing_the_Relationship_Between_Tax_Revenue_and_Economic_Growth_in_Nigeria_1980-2020/links/63bd1f4b03aad5368e7c3b9f/Re-Assessing-the-Relationship-Between-Tax-Revenue-and-Economic-Growth-in-Nigeria-1980-2020.pdf,"OJ Adeyemi - World Scientific News, 2023 - researchgate.net",2023
[PDF] A Survey of Sustainable Business Development from the View of Consumer and Consumer Alienation in Iran Khodro Company in Tehran,https://www.academia.edu/download/76331750/WSN-6-2015-27-40.pdf,"M Vahabzadeh, G Jandaghi, H Hasanzadeh - World Scientific News, 2015 - academia.edu",2015
[PDF] On the examination of reasons why border dwellers tend to goods smuggling and its impacts on the non-accomplishment of economic development,https://scholar.archive.org/work/g6z5jshsxjd4vgjspfkigth55a/access/wayback/http://www.worldscientificnews.com/wp-content/uploads/2016/01/WSN-52-2016-93-105-1.pdf,"S Mamazizi, Y Rostami - World Scientific News, 2016 - scholar.archive.org",2016
[HTML] Did West Africa's Ebola Outbreak of 2014 Have a Lab Origin?–Independent Science News,https://www.vectorsjournal.org/did-west-africas-ebola-outbreak-of-2014-have-a-lab-origin-independent-science-news/,"S Husseini, J Latham - vectorsjournal.org",N/A
Automatic detection of fake news in social media using contextual information,https://ntnuopen.ntnu.no/ntnu-xmlui/handle/11250/2559124,T Granskogen - 2018 - ntnuopen.ntnu.no,2018
"[HTML] IV CONTENTS No. 51."" Analysis of Famine,"" by Barbara Tufty, Science News, volume 90, July 30, 1966, pages 74, 75----52. Letter from Karl Singer to Senator …",https://books.google.com/books?hl=en&lr=&id=vhoSAAAAIAAJ&oi=fnd&pg=PA292-IA7&dq=%22science+news%22OR%22scientific+news%22+automatic+AND+generation&ots=E_32SXTw54&sig=H4tZuk9dPmDks4LCaHZ6ulremYI,"P Church - Population Crisis: Hearings Before the United States …, 1966 - books.google.com",1966
[PDF] Cell Profiler software: An easy screening tool for DNA damage estimation in fish erythrocytes from comet assay image,https://www.researchgate.net/profile/Soumendra-Nath-Talapatra/publication/308051299_Cell_Profiler_software_An_easy_screening_tool_for_DNA_damage_estimation_in_fish_erythrocytes_from_comet_assay_image/links/57d82dc308ae6399a3991b4b/Cell-Profiler-software-An-easy-screening-tool-for-DNA-damage-estimation-in-fish-erythrocytes-from-comet-assay-image.pdf,"A Palit, P Talukdar, K Gupta, SN Talapatra - World Scientific News, 2016 - researchgate.net",2016
[PDF] A SEMANTIC SEARCH ENGINE FOR A BUSINESS NETWORK,https://www.scitepress.org/Papers/2010/30403/30403.pdf,"A Manuela, E De Vita, L Cristian, M Ivan, P Gavino… - scitepress.org",N/A
[PDF] Developing Smart Environmental solutions using Internet of Things for Smart City Infrastructure: A Survey,https://www.academia.edu/download/92559718/WSN_142__2020__60-75.pdf,"S Aradhyamatada, UM Rohitha - World Scientific News, 2020 - academia.edu",2020
Communicating environmental science beyond academia: Stylistic patterns of newsworthiness in popular science journalism,https://journals.sagepub.com/doi/abs/10.1177/1750481316683294,"K Molek-Kozakowska - Discourse & Communication, 2017 - journals.sagepub.com",2017
[PDF] A cloud platform for the internet of things,https://www.researchgate.net/profile/Vijayalakshmi-Sr/publication/308379692_Challenges_in_Integrating_Wireless_Sensor_Network_and_Internet_of_Things_for_Environmental_Monitoring/links/57e271b208ae1f0b4d95c83c/Challenges-in-Integrating-Wireless-Sensor-Network-and-Internet-of-Things-for-Environmental-Monitoring.pdf#page=16,"K Swarnalatha, SN Alankar… - … Scientific News, 2016 - researchgate.net",2016
[PDF] Condition monitoring of rotating machines: a review,https://www.academia.edu/download/76013807/WSN-113-2018-98-108.pdf,"D Goyal, A Chaudhary, RK Dang, BS Pabla… - … Scientific News, 2018 - academia.edu",2018
[PDF] Detailed energy audit of thermal power plant equipment,https://worldscientificnews.com/wp-content/uploads/2024/01/WSN-22-2015-70-90.pdf,"S Das, M Mukherjee, S Mondal - World Scientific News, 2015 - worldscientificnews.com",2015
[HTML] An Automated Impact Analysis Approach for Test Cases based on Changes of Use Case based Requirement Specifications,https://search.proquest.com/openview/fb72da147518d80f162018b5b66d1247/1?pq-origsite=gscholar&cbl=5444811,"A Intana, K Laosen, T Sriraksa - International Journal of …, 2023 - search.proquest.com",2023
Popularisation of science and science journalism on social media in slovakia,https://www.ceeol.com/search/article-detail?id=1129841,"N Vrabec, L Pieš - Media Literacy and Academic Research, 2023 - ceeol.com",2023
[PDF] Cellprofiler and weka tools: image analysis for fish erythrocytes shape and machine learning model algorithm accuracy prediction of dataset,https://www.researchgate.net/profile/Subhasis-Ghosh-5/publication/372649197_CellProfiler_and_WEKA_Tools_Image_Analysis_for_Fish_Erythrocytes_Shape_and_Machine_Learning_Model_Algorithm_Accuracy_Prediction_of_Dataset/links/64c16c95b9ed6874a546ece5/CellProfiler-and-WEKA-Tools-Image-Analysis-for-Fish-Erythrocytes-Shape-and-Machine-Learning-Model-Algorithm-Accuracy-Prediction-of-Dataset.pdf,"SN Talapatra, R Chaudhuri, S Ghosh - World Scientific News, 2021 - researchgate.net",2021
[PDF] Smart-Intelligent System Framework Designing for Self-Tutoring In Robotic Programming for Children,https://worldscientificnews.com/wp-content/uploads/2024/01/WSN-182-2023-225-236.pdf,"IR Tebepah, ES Ikeremo - World Scientific News, 2023 - worldscientificnews.com",2023
"[HTML] Estimation of heat generation and consequent temperature rise from nutrients like carbohydrates, proteins and fats in municipal solid waste landfills in India",https://www.sciencedirect.com/science/article/pii/S0048969719356050,"GS Manjunatha, D Chavan, P Lakshmikanthan… - Science of the Total …, 2020 - Elsevier",2020
"[PDF] Modeling the Impact of Agriculture, Export Earnings and Inflation on Gross Domestic Product Using the Generalized Least Square (GLS) Approach",https://www.academia.edu/download/79297139/WSN-1342-2019-326-334.pdf,"AS Henry, J Simon, AA Gwani - World Scientific News, 2019 - academia.edu",2019
A Technology-Enhanced Approach for Locating Timely and Relevant News Articles for Context-Based Science Education,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003181187-10/technology-enhanced-approach-locating-timely-relevant-news-articles-context-based-science-education-jinnie-shin-mark-gierl,"J Shin, MJ Gierl - Artificial Intelligence in STEM Education, 2022 - taylorfrancis.com",2022
Cochrane-auto: An Aligned Dataset for the Simplification of Biomedical Abstracts,https://aclanthology.org/2024.tsar-1.5/,"J Bakker, J Kamps - Proceedings of the Third Workshop on Text …, 2024 - aclanthology.org",2024
[CITATION] Internet of Things-An Overview,N/A,"G Padmavathi - World Scientific News, 2016 - Scientific Publishing House Darwin",2016
[PDF] The automatic identification of discourse units in Dutch text,https://aclanthology.org/W13-5637.pdf,"N van der Vliet, G Bouma… - Proceedings of the 19th …, 2013 - aclanthology.org",2013
"A comprehensive review of smart animal husbandry: Its data, applications, techniques, challenges and opportunities",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4455021,"RW Bello, AS Azlan Mohamed, A Talib - World Scientific News, 2023 - papers.ssrn.com",2023
"Understanding the shifting nature of fake news research: Consumption, dissemination, and detection",https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/asi.24980,"RNS Amriza, TC Chou… - Journal of the Association …, 2025 - Wiley Online Library",2025
Automated Keyword Extraction and Summarization for Romanian Texts,https://ieeexplore.ieee.org/abstract/document/10554137/,"MI Lupea, CM Mocan, CI Nandra… - 2024 IEEE International …, 2024 - ieeexplore.ieee.org",2024
[PDF] Leveraging social networks and knowledge graphs for discovering and recommending engaging and credible information,https://dspace.lib.ntua.gr/xmlui/bitstream/handle/123456789/55400/thesis_Danae_Pla_Karidi.pdf?sequence=1,D Pla Karidi - 2022 - dspace.lib.ntua.gr,2022
Increasing the credibility of scientific dissemination using crowdsourcing,https://oulurepo.oulu.fi/handle/10024/14178,A Kongjonaj - 2019 - oulurepo.oulu.fi,2019
[PDF] THE ROLE OF ARTIFICIAL SUPERINTELLIGENCE (ASI) IN THE SOLUTION OF THE CLIMATE CHANGE PROBLEM,https://snjournal.atu.edu.az/storage/arxiv/5441736430554.pdf#page=64,"VA oglu Seyidov, BM oglu Bagirov - … ВЕСТИ SCIENTIFIC NEWS - snjournal.atu.edu.az",N/A
Economic competition is like auto racing: Building metaphorical schemas when reading text,https://www.jbe-platform.com/content/journals/10.1075/msw.4.1.04kre,"T Krennmayr, BF Bowdle, G Mulder… - Metaphor and the Social …, 2014 - jbe-platform.com",2014
"Science, journalism, and the language of (un) certainty: A review of science journalists' use of language in reports on science",https://www.taylorfrancis.com/chapters/edit/10.4324/9781351207836-5/science-journalism-language-un-certainty-lars-guenther-antonia-weber,"L Guenther, A Weber - The Routledge Handbook of Language …, 2019 - taylorfrancis.com",2019
[PDF] The Inverse Reaction Cross Sections for Unit Rate Cost Model for Pricing Weld Mesh Reinforcement in Construction Projects,https://worldscientificnews.com/wp-content/uploads/2024/01/WSN-28-2016-84-100.pdf,"EI Samuel, IO Akpokodje - World Scientific News, 2016 - worldscientificnews.com",2016
[PDF] Reduction of BER using RSC code for Optical Code Division Multiple Access Networks,https://www.researchgate.net/profile/Satyasen-Panda/publication/325817495_Reduction_of_BER_using_RSC_code_for_Optical_Code_Division_Multiple_Access_Networks/links/5b2744c7aca272277fb7059b/Reduction-of-BER-using-RSC-code-for-Optical-Code-Division-Multiple-Access-Networks.pdf,"S Panda - World Scientific News, 2017 - researchgate.net",2017
[PDF] Accuracy assessment of height difference using total station and levelling instrument,https://worldscientificnews.com/wp-content/uploads/2024/01/WSN-189-2024-87-101-1.pdf,"AP Olawuyi, EO Okeniyi, ID Osisanya - Reading Time - worldscientificnews.com",N/A
[PDF] Correlation between Radio Flux (10.7 cm) and Sunspot Number Based on Statistical Properties,https://scholar.archive.org/work/udowtmzlnfe5de2etegrmyvm2u/access/wayback/http://www.worldscientificnews.com/wp-content/uploads/2016/01/WSN-52-2016-70-80.pdf,"ZS Hamidi, NNM Shariff, C Monstein - World Scientific News, 2016 - scholar.archive.org",2016
Theophrastus: On demand and real-time automatic annotation and exploration of (web) documents using open linked data,https://www.sciencedirect.com/science/article/pii/S1570826814000572,"P Fafalios, P Papadakos - Journal of web semantics, 2014 - Elsevier",2014
"[CITATION] NATURE MAY 15, 1943, voi. Isı",https://www.nature.com/articles/151548a0,DN WADA - nature.com,N/A
[HTML] Social laser model for the bandwagon effect: Generation of coherent information waves,https://www.mdpi.com/1099-4300/22/5/559,"A Khrennikov - Entropy, 2020 - mdpi.com",2020
Rethinking Search Engines in Social Network Vision,https://link.springer.com/chapter/10.1007/978-3-642-21384-7_1,"M Angioni, E De Vita, C Lai, I Marcialis… - Advances in Distributed …, 2011 - Springer",2011
[PDF] Bioelectrical impedance analysis in medicine,https://statanaly.com/wp-content/uploads/2023/04/Bioelectrical_impedance_analysis_in.pdf,"A Dubiel - World Scientific News, 2019 - statanaly.com",2019
Sentiment and topic classification of messages on Twitter: and using the results to interact with Twitter users,https://www.diva-portal.org/smash/record.jsf?pid=diva2:929542,J David - 2016 - diva-portal.org,2016
[PDF] Testing the Nexus between Financial Inclusion and Banks' Performance in Nigeria: The Role of Financial Technology,https://www.researchgate.net/profile/Henry-Yua/publication/366183530_Testing_the_Nexus_between_Financial_Inclusion_and_Banks'_Performance_in_Nigeria_The_Role_of_Financial_Technology/links/6395b56d095a6a777420b926/Testing-the-Nexus-between-Financial-Inclusion-and-Banks-Performance-in-Nigeria-The-Role-of-Financial-Technology.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9,"H Yua, OD Cross, SO Epor - World Scientific News, 2023 - researchgate.net",2023
Selection of Content Measures for Evaluation of Text Summaries Using Genetic Algorithms,http://www.polibits.ojs.gelbukh.com/ojs/index.php/CyS/article/view/5291,"J Rojas-Simón, Y Ledeneva… - Computación y …, 2024 - polibits.ojs.gelbukh.com",2024
[PDF] The Impact of Fiscal Policy on Poverty Reduction in Nigeria (1980-2018),https://worldscientificnews.com/wp-content/uploads/2024/01/WSN-181-2023-194-215.pdf,"NV Ayalogu, IE Kalu… - World Scientific News, 2023 - worldscientificnews.com",2023
[PDF] Looking for an efficient port planning: analysis of Spanish Port System through artificial intelligence,https://scholar.archive.org/work/ixblufv54vddrbheruoczm6kwy/access/wayback/http://www.worldscientificnews.com/wp-content/uploads/2017/07/WSN-83-2017-75-91.pdf,"BM Serrano, N González-Cancelas… - … Scientific News, 2017 - scholar.archive.org",2017
Research of the combustion of gas-generating compositions with additives of carbon powders,https://www.sciencedirect.com/science/article/pii/S2214785320361381,"DA Baiseitov, S Tursynbek, LR Sassykova… - Materials Today …, 2020 - Elsevier",2020
[PDF] Fake News Detection with Journalists-in-the Loop,https://www.researchgate.net/profile/Soniya-Vijayakumar-4/publication/376416125_Fake_News_Detection_with_Journalists-in-the-Loop/links/657836acea5f7f020561ad91/Fake-News-Detection-with-Journalists-in-the-Loop.pdf,"S Vijayakumar, SM Yimam - 2021 - researchgate.net",2021
"[PDF] Assessment of Primary Health Care Facilities in Afijio Local Government, Oyo State, Nigeria Using GIS",https://worldscientificnews.com/wp-content/uploads/2024/01/WSN-185-2023-62-82.pdf,"IA Amusa, OM Areo, ST Oyebanji… - … Scientific News, 2023 - worldscientificnews.com",2023
[PDF] Analyse the Metrological Data Using Data Mining Technique,https://www.researchgate.net/profile/Sujithra_Muthuswamy/publication/301887107_Internet_of_Things_-_An_Overview/links/5b07a9e80f7e9b1ed7f1ec20/Internet-of-Things-An-Overview.pdf#page=256,"P Vanitha, M Mayilvaganan - World Scientific News, 2016 - researchgate.net",2016
"Science audiences, misinformation, and fake news",https://www.pnas.org/doi/abs/10.1073/pnas.1805871115,"DA Scheufele, NM Krause - Proceedings of the National Academy of …, 2019 - pnas.org",2019
Communicating scientific knowledge as News on Social Media: analyses in frames of Luhmann's System Theory,https://link.springer.com/article/10.1007/s11213-023-09659-7,"A Hakobyan - Systemic Practice and Action Research, 2024 - Springer",2024
Content-based tag generation to enable a tag-based collaborative tv-recommendation system.,https://dl.acm.org/doi/abs/10.1145/1809777.1809832,"G Hölbling, A Thalhammer, H Kosch - Proceedings of the 8th European …, 2010 - dl.acm.org",2010
[PDF] Descipher: A text simplification tool for science journalism,https://cond.org/cjdescipher.pdf,"YS Kim, J Hullman, E Adar - Computation+ Journalism Symposium, 2015 - cond.org",2015
RefAI: a GPT-powered retrieval-augmented generative tool for biomedical literature recommendation and summarization,https://academic.oup.com/jamia/article-abstract/31/9/2030/7690757,"Y Li, J Zhao, M Li, Y Dang, E Yu, J Li… - Journal of the …, 2024 - academic.oup.com",2024
[PDF] Antisurge systems-state of the art,https://scholar.archive.org/work/hyxcsbkeqbcodcbnrr2ucfl2ry/access/wayback/http://www.worldscientificnews.com/wp-content/uploads/2017/07/WSN-812-2017-53-68.pdf,"F Grapow - World Scientific News, 2017 - scholar.archive.org",2017
[PDF] Is Metaphorical thinking related to development of Cognitive structures among learners?,https://www.academia.edu/download/58874735/Is_Metaphorical_WSN.pdf,"CG Navaneedhan, TJ Kamalanabhan - World Scientific News, 2016 - academia.edu",2016
[PDF] A system approach to solving foresight problems on the basis of Delphi method,http://foibg.com/ijitk/ijitk-vol07/ijitk07-04.pdf#page=13,"N Pankratova, L Malafeeva - INFORMATION TECHNOLOGIES & …, 2013 - foibg.com",2013
On Assessing the Faithfulness of LLM-generated Feedback on Student Assignments,https://educationaldatamining.org/edm2024/proceedings/2024.EDM-short-papers.49/,"Q Jia, J Cui, R Xi, C Liu, P Rashid… - Proceedings of the …, 2024 - educationaldatamining.org",2024
[PDF] Applied Computing and Informatics,https://www.researchgate.net/profile/Imad-Zeroual/publication/329665082_MulTed_A_multilingual_aligned_and_tagged_parallel_corpus/links/5ce69267458515712ebbde88/MulTed-A-multilingual-aligned-and-tagged-parallel-corpus.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9,"I Zeroual, A Lakhouaja - 2018 - researchgate.net",2018
Challenges for intelligence today: Combatting misinformation and fake news,https://link.springer.com/chapter/10.1007/978-3-030-92798-1_14,"SJ Ceci, WM Williams - Intelligence in Context: The Cultural and Historical …, 2022 - Springer",2022
"5 Science and the news flow 1990–2014, in Germany, UK and India",https://books.google.com/books?hl=en&lr=&id=uPN6DwAAQBAJ&oi=fnd&pg=PT62&dq=%22science+news%22OR%22scientific+news%22+automatic+AND+generation&ots=UhpAaIh7jX&sig=pHf9pQmDtuTeThDGXho4GvcKVoQ,"B Falade, MW Bauer, R Shukla… - The Cultural Authority …, 2018 - books.google.com",2018
"[PDF] Navigating the cyber security landscape: A comprehensive review of cyber-attacks, emerging trends, and recent developments",https://worldscientificnews.com/wp-content/uploads/2024/01/WSN-1901-2024-1-69-1.pdf,"MAI Mallick, R Nath - World Scientific News, 2024 - worldscientificnews.com",2024
Enhancing Health Information Retrieval with RAG by Prioritizing Topical Relevance and Factual Accuracy,https://arxiv.org/abs/2502.04666,"R Uapadhyay, M Viviani - arXiv preprint arXiv:2502.04666, 2025 - arxiv.org",2025
Advantages and disadvantages of internet marketing research,https://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-163356de-1b8b-4e82-88d6-3bb53ea25565,"D Skurpel - World Scientific News, 2016 - agro.icm.edu.pl",2016
